transaction_id,customer_id,items_total,total_amount,order_date
489434,13085,166,505.3,2023-11-06
489435,13085,60,145.8,2023-03-28
489436,13078,193,630.33,2023-01-21
489437,15362,145,310.75,2023-02-11
489438,18102,826,2286.24,2023-02-12
489439,12682,219,426.3,2023-06-08
489440,18087,16,50.4,2023-03-19
489441,18087,102,344.34,2023-09-15
489442,13635,275,382.37,2023-01-11
489443,14110,120,285.06,2023-06-27
489444,12636,1,141.0,2023-07-16
489445,17519,280,308.44,2023-06-25
489446,13758,382,996.1,2023-03-30
489447,12362,1,130.0,2023-02-14
489448,15413,192,570.24,2023-10-16
489450,16321,100,196.1,2023-01-05
489460,16167,977,485.79,2023-09-17
489461,17865,379,589.33,2023-02-21
489462,17592,38,148.3,2023-07-15
489465,13767,408,1197.8,2023-06-12
489488,17238,80,251.1,2023-10-20
489505,15712,64,255.5,2023-10-11
489514,15311,326,823.02,2023-05-18
489517,16329,114,250.06,2023-04-10
489519,17700,247,696.73,2023-01-13
489520,14911,293,733.63,2023-10-14
489522,15998,409,700.31,2023-04-28
489523,12931,800,1160.0,2023-07-30
489526,12533,484,929.92,2023-12-08
489529,17984,187,212.63,2023-01-17
489531,14871,54,145.0,2023-09-05
489532,13394,353,304.53,2023-03-12
489533,16011,60,181.5,2023-04-16
489536,16393,199,341.02,2023-02-11
489537,14040,250,633.33,2023-12-30
489539,15061,1598,2887.14,2023-01-23
489540,12913,188,537.96,2023-03-31
489542,15061,264,387.6,2023-05-06
489544,14341,226,281.82,2023-02-16
489545,17804,92,124.95,2023-05-17
489546,14156,212,584.5,2023-04-05
489547,13599,595,641.45,2023-03-31
489550,14156,232,482.3,2023-07-02
489552,17063,129,278.61,2023-12-04
489556,15719,174,377.15,2023-01-08
489557,12490,442,603.94,2023-01-11
489558,15793,154,291.58,2023-12-17
489559,17056,26,128.6,2023-05-02
489560,13526,1585,859.1,2023-03-11
489561,14654,273,246.86,2023-02-26
489562,17998,107,229.6,2023-04-19
